age,occupation_status,years_employed,annual_income,credit_score,credit_history_years,savings_assets,current_debt,defaults_on_file,delinquencies_last_2yrs,derogatory_marks,product_type,loan_intent,loan_amount,interest_rate,debt_to_income_ratio,loan_to_income_ratio,payment_to_income_ratio,loan_status,predicted_pd,expected_loss,decision,risk_bucket,interest_rate_model
33,Employed,7.3,43087,627,3.5,169,16550,0,1,0,Personal Loan,Home Improvement,53300,14.1,0.384,1.237,0.412,0,0.3068735,7360.360905826092,1,"(0.202, 0.372]",0.24413961
32,Employed,12.5,63657,630,7.2,209,12424,0,0,0,Personal Loan,Education,99600,13.92,0.195,1.565,0.522,1,0.5729149,25678.04574608803,0,"(0.372, 0.604]",0.42371756
53,Employed,22.9,44989,674,11.1,19667,19298,0,0,0,Personal Loan,Home Improvement,45600,11.02,0.429,1.014,0.338,1,0.70375466,14441.045694351196,0,"(0.604, 0.77]",0.51203436
18,Self-Employed,1.0,55309,597,1.5,346,2930,0,0,0,Personal Loan,Debt Consolidation,50400,16.13,0.053,0.911,0.304,0,0.13024722,2954.006958603859,1,"(0.0578, 0.202]",0.124916874
52,Employed,31.3,75932,695,2.1,1283,10655,0,0,0,Personal Loan,Home Improvement,96000,11.05,0.14,1.264,0.421,1,0.63696367,27516.83034896851,0,"(0.604, 0.77]",0.46695048
36,Employed,6.8,55609,651,16.9,1896,16140,0,0,0,Personal Loan,Education,69400,12.97,0.29,1.248,0.416,1,0.77625436,24242.423534989357,0,"(0.77, 0.839]",0.5609717
39,Employed,0.0,43085,579,3.5,206,359,0,4,1,Personal Loan,Medical,82800,15.68,0.008,1.922,0.641,0,0.089138195,3321.289142668247,1,"(0.0578, 0.202]",0.09716828
27,Employed,6.2,23613,594,2.9,320,3017,1,1,0,Personal Loan,Debt Consolidation,26400,15.68,0.128,1.118,0.373,0,0.119608186,1420.9452518820763,1,"(0.0578, 0.202]",0.11773553
27,Employed,6.2,32073,619,8.0,274,6458,0,0,0,Personal Loan,Medical,50600,13.03,0.201,1.578,0.526,1,0.5368437,12223.931438326836,0,"(0.372, 0.604]",0.3993695
34,Employed,10.7,27886,623,6.8,110,2991,0,1,0,Personal Loan,Home Improvement,45300,13.91,0.107,1.624,0.541,0,0.5343326,10892.36950904131,0,"(0.372, 0.604]",0.39767447
